date,symbol,close,adj_close,volume
2024-01-02,AAPL,129.4486,129.4486,1972894.38
2024-01-02,MSFT,83.5515,83.5515,6443866.63
2024-01-02,NVDA,138.4501,138.4501,4737612.38
2024-01-02,AMZN,105.8546,105.8546,4162347.04
2024-01-02,GOOGL,122.3092,122.3092,2913706.88
2024-01-02,META,227.1769,227.1769,5846238.4
2024-01-02,JPM,159.7914,159.7914,3098819.15
2024-01-02,XOM,201.5387,201.5387,7630392.86
2024-01-02,LLY,246.6733,246.6733,7217875.7
2024-01-02,COST,204.145,204.145,5583584.53
2024-01-02,UNH,251.1428,251.1428,5682879.34
2024-01-02,HD,362.9512,362.9512,3629296.34
2024-01-03,AAPL,129.8461,129.8461,2267742.92
2024-01-03,MSFT,85.1827,85.1827,6941262.72
2024-01-03,NVDA,137.4224,137.4224,3648313.23
2024-01-03,AMZN,106.2302,106.2302,5554382.24
2024-01-03,GOOGL,121.7749,121.7749,3586132.89
2024-01-03,META,228.7202,228.7202,6720434.85
2024-01-03,JPM,165.2458,165.2458,3293039.91
2024-01-03,XOM,203.7256,203.7256,5839470.54
2024-01-03,LLY,247.4923,247.4923,7440669.72
2024-01-03,COST,211.4923,211.4923,9909606.87
2024-01-03,UNH,254.0172,254.0172,7863074.66
2024-01-03,HD,360.7927,360.7927,3786062.79
2024-01-04,AAPL,131.2559,131.2559,2631159.54
2024-01-04,MSFT,86.4039,86.4039,7463097.41
2024-01-04,NVDA,139.8428,139.8428,6032142.76
2024-01-04,AMZN,107.6435,107.6435,6520247.42
2024-01-04,GOOGL,125.9707,125.9707,5103846.95
2024-01-04,META,232.8468,232.8468,8295736.68
2024-01-04,JPM,165.5736,165.5736,2922941.41
2024-01-04,XOM,208.1453,208.1453,5746550.65
2024-01-04,LLY,245.7687,245.7687,6050022.51
2024-01-04,COST,214.2303,214.2303,6318269.64
2024-01-04,UNH,257.6356,257.6356,8275606.13
2024-01-04,HD,366.0071,366.0071,3293445.9
2024-01-05,AAPL,130.7821,130.7821,2572474.74
2024-01-05,MSFT,85.7335,85.7335,5169655.34
2024-01-05,NVDA,143.2733,143.2733,5172644.88
2024-01-05,AMZN,107.9882,107.9882,4946738.72
2024-01-05,GOOGL,126.0265,126.0265,2148703.09
2024-01-05,META,233.3611,233.3611,5980346.18
2024-01-05,JPM,167.8912,167.8912,4162824.53
2024-01-05,XOM,214.3562,214.3562,9323429.16
2024-01-05,LLY,247.284,247.284,5214308.25
2024-01-05,COST,219.0179,219.0179,8547273.4
2024-01-05,UNH,263.2018,263.2018,7846214.44
2024-01-05,HD,365.1147,365.1147,3639482.66
2024-01-08,AAPL,130.9696,130.9696,2787510.29
2024-01-08,MSFT,86.7253,86.7253,5165605.51
2024-01-08,NVDA,146.6927,146.6927,5982255.12
2024-01-08,AMZN,109.6713,109.6713,5825468.45
2024-01-08,GOOGL,127.5984,127.5984,3743660.85
2024-01-08,META,233.6337,233.6337,4429026.67
2024-01-08,JPM,171.9672,171.9672,3736097.94
2024-01-08,XOM,218.0562,218.0562,5357466.47
2024-01-08,LLY,247.6463,247.6463,4533362.13
2024-01-08,COST,220.6308,220.6308,4462444.41
2024-01-08,UNH,264.6724,264.6724,6985740.66
2024-01-08,HD,368.5338,368.5338,3848192.91
2024-01-09,AAPL,133.382,133.382,3324156.04
2024-01-09,MSFT,85.9187,85.9187,5013820.7
2024-01-09,NVDA,147.7388,147.7388,3646134.07
2024-01-09,AMZN,112.2809,112.2809,7715803.2
2024-01-09,GOOGL,125.6343,125.6343,3918358.79
2024-01-09,META,238.226,238.226,7098551.87
2024-01-09,JPM,177.5405,177.5405,4141485.19
2024-01-09,XOM,223.134,223.134,5968818.07
2024-01-09,LLY,250.9229,250.9229,8786977.17
2024-01-09,COST,226.9834,226.9834,7218779.54
2024-01-09,UNH,263.8418,263.8418,5042511.19
2024-01-09,HD,367.1425,367.1425,3767575.31
2024-01-10,AAPL,131.6216,131.6216,2388816.82
2024-01-10,MSFT,85.4305,85.4305,6502085.94
2024-01-10,NVDA,147.582,147.582,4191114.95
2024-01-10,AMZN,113.7647,113.7647,6684412.75
2024-01-10,GOOGL,124.7316,124.7316,3811222.96
2024-01-10,META,239.4745,239.4745,5513398.46
2024-01-10,JPM,176.4039,176.4039,3649223.8
2024-01-10,XOM,225.9654,225.9654,7214944.37
2024-01-10,LLY,252.4976,252.4976,5474273.07
2024-01-10,COST,233.9141,233.9141,8307226
2024-01-10,UNH,266.5549,266.5549,8599966.34
2024-01-10,HD,364.0234,364.0234,2857535.43
2024-01-11,AAPL,131.4566,131.4566,1974270.11
2024-01-11,MSFT,85.8194,85.8194,6727875.11
2024-01-11,NVDA,146.3725,146.3725,3790221.12
2024-01-11,AMZN,113.0245,113.0245,5066026.83
2024-01-11,GOOGL,122.2641,122.2641,3574127.89
2024-01-11,META,237.2863,237.2863,5611626.58
2024-01-11,JPM,174.0073,174.0073,3593788.64
2024-01-11,XOM,224.5051,224.5051,4934375.86
2024-01-11,LLY,251.3122,251.3122,6256310.47
2024-01-11,COST,233.5025,233.5025,4779625.95
2024-01-11,UNH,268.2445,268.2445,7455061.66
2024-01-11,HD,366.512,366.512,3366759.79
2024-01-12,AAPL,128.3552,128.3552,2455715.28
2024-01-12,MSFT,85.1767,85.1767,5440901.51
2024-01-12,NVDA,143.7812,143.7812,6262020.17
2024-01-12,AMZN,111.6462,111.6462,6252853.97
2024-01-12,GOOGL,121.1727,121.1727,3937372.96
2024-01-12,META,231.1661,231.1661,9608754.41
2024-01-12,JPM,171.9961,171.9961,2979154.32
2024-01-12,XOM,226.7389,226.7389,5443639.55
2024-01-12,LLY,250.4905,250.4905,7309500.35
2024-01-12,COST,233.772,233.772,5300904.74
2024-01-12,UNH,269.2169,269.2169,5735678.35
2024-01-12,HD,360.5287,360.5287,3891392.19
2024-01-15,AAPL,126.4483,126.4483,3046179.19
2024-01-15,MSFT,85.2172,85.2172,4067994.75
2024-01-15,NVDA,142.3319,142.3319,4466564.44
2024-01-15,AMZN,114.0037,114.0037,4892397.02
2024-01-15,GOOGL,118.731,118.731,4357918.24
2024-01-15,META,228.3789,228.3789,7481886
2024-01-15,JPM,172.7266,172.7266,2444534.07
2024-01-15,XOM,232.0958,232.0958,7071293.87
2024-01-15,LLY,252.0701,252.0701,5678044.91
2024-01-15,COST,235.2594,235.2594,5810245.74
2024-01-15,UNH,270.4099,270.4099,6586448.16
2024-01-15,HD,364.5563,364.5563,3921427.16
2024-01-16,AAPL,127.9752,127.9752,3365705.14
2024-01-16,MSFT,86.4819,86.4819,7826861.49
2024-01-16,NVDA,143.8988,143.8988,4222603.57
2024-01-16,AMZN,114.872,114.872,4795708.89
2024-01-16,GOOGL,119.825,119.825,2985654.07
2024-01-16,META,230.5035,230.5035,5551279.04
2024-01-16,JPM,174.6413,174.6413,2704117.64
2024-01-16,XOM,232.6426,232.6426,5453511.64
2024-01-16,LLY,252.5407,252.5407,5647442.38
2024-01-16,COST,234.627,234.627,5491973.12
2024-01-16,UNH,269.3752,269.3752,5443809.47
2024-01-16,HD,369.9824,369.9824,4266856.25
2024-01-17,AAPL,127.3423,127.3423,2063647.78
2024-01-17,MSFT,85.4091,85.4091,7246775.14
2024-01-17,NVDA,141.9519,141.9519,4896928.09
2024-01-17,AMZN,113.0467,113.0467,6503633.57
2024-01-17,GOOGL,119.5458,119.5458,3524426.91
2024-01-17,META,225.7707,225.7707,7950698.79
2024-01-17,JPM,172.8019,172.8019,3939303.41
2024-01-17,XOM,231.1792,231.1792,4852146.47
2024-01-17,LLY,248.7886,248.7886,8606315.8
2024-01-17,COST,234.1322,234.1322,5985731.52
2024-01-17,UNH,271.0032,271.0032,7876617.12
2024-01-17,HD,367.6848,367.6848,2931335.44
2024-01-18,AAPL,126.3671,126.3671,2721102.12
2024-01-18,MSFT,85.0759,85.0759,6662422.14
2024-01-18,NVDA,139.4692,139.4692,4802458.36
2024-01-18,AMZN,112.9429,112.9429,4393942.9
2024-01-18,GOOGL,118.81,118.81,2810362.39
2024-01-18,META,218.1231,218.1231,10255266.96
2024-01-18,JPM,169.9746,169.9746,3027447.9
2024-01-18,XOM,228.5686,228.5686,5643161.39
2024-01-18,LLY,245.6254,245.6254,8773126.55
2024-01-18,COST,238.5066,238.5066,5222309.43
2024-01-18,UNH,265.9455,265.9455,7290411.11
2024-01-18,HD,363.0384,363.0384,3460229.7
2024-01-19,AAPL,127.4095,127.4095,2761734.61
2024-01-19,MSFT,84.3821,84.3821,5562484.42
2024-01-19,NVDA,137.2759,137.2759,4790155.97
2024-01-19,AMZN,111.9001,111.9001,4583831.07
2024-01-19,GOOGL,117.593,117.593,3844314.91
2024-01-19,META,214.2339,214.2339,6886791
2024-01-19,JPM,168.0977,168.0977,3290151.79
